"","Date","CharacterName","CharacterName1","CharacterName2","CharacterName3","Smiley","Rarity","MaxHP","Power","Damage_Range","Type","Target","L1","L2","L3","L4","L5","MAX","PowerName","AP","Color","Use","L1.AP","L2.AP","L3.AP","L4.AP","L5.AP","MAX.AP","Tile_Convert_Active_Color","Tile_Convert_Source","Tile_Convert_Color","Tile_Charged_Color","Match_Proc","CD_Present_Proc","CD_Resolve_Proc","Damage_Taken_Proc","Ability_Use_Proc","Direct_Damage","Possible_Damage","Conditional_Damage","Defensive","Offensive","Team_Damage","Cheap","Moderately_Cheap","Moderately_Expensive","Expensive","Healing","Stun","Shake","Swap","Backfire","Convert_Tile_Color","Improve_Special_Tile","Manipulate_CD","Add_Strike_Tile","Add_Attack_Tile","Add_Protect_Tile","Add_Charged_Tile","Add_Critical_Tile","Add_Trap_Tile","Add_CD_Tile","Add_2_Turn_CD_Tile","Add_Web_Tile","Add_Locked_Tile","Add_Invis_Tile","Add_Special_Tile","Remove_Special_Tile","Steal_Special_Tile","Destroy_AP","Gain_AP","Steal_AP","Manipulate_AP"
"12",,"Wolverine (Old Man Logan) [Claws In]","Wolverine [Claws In]","Old Man Logan","Wolverine",":wolverine:",5,42480,"Logan_P2a_max","(max)","heal","self","11418","13701","18756","21438","27681","111315","Die Hard",0,"yellow","passive","Inf","Inf","Inf","Inf","Inf","Inf",,,,,,,,,,"no","","","yes","","","","","","","yes","",,"",,"","",,"","","","","",,"","","","",,"",,,,,,""
"13",,"Wolverine (Old Man Logan) [Claws Out]","Wolverine [Claws Out]","Old Man Logan","Wolverine",":wolverine:",5,42480,"Logan_P2b_min","(min)","damage","team","440","440","610","610","781","3140","Old Habits",7,"yellow","active","62.8571428571429","62.8571428571429","87.1428571428571","87.1428571428571","111.571428571429","448.571428571429",,,,,,,,,,"yes","yes","yes","","yes","yes","yes","","","","","",,"",,"","",,"","","","","",,"","","","",,"",,,,,,""
"14",,"Wolverine (Old Man Logan) [Claws Out]","Wolverine [Claws Out]","Old Man Logan","Wolverine",":wolverine:",5,42480,"Logan_P2b_max","(max)","damage","team","751","813","983","1087","1258","5055","Old Habits",7,"yellow","active","107.285714285714","116.142857142857","140.428571428571","155.285714285714","179.714285714286","722.142857142857",,,,,,,,,,"yes","yes","yes","","yes","yes","yes","","","","","",,"",,"","",,"","","","","",,"","","","",,"",,,,,,""
"15",,"Wolverine (Old Man Logan) [Claws In]","Wolverine [Claws In]","Old Man Logan","Wolverine",":wolverine:",5,42480,"Logan_P3a","","strike","tile","156","156","170","182","196","780","Reluctant Hero",0,"red","passive","Inf","Inf","Inf","Inf","Inf","Inf",,,,,,,,"yes",,"no","","","yes","yes","","","","","","","",,"","yes","","",,"yes","","","","",,"","","","",,"yes",,,,,,""
"16",,"Wolverine (Old Man Logan) [Claws Out]","Wolverine [Claws Out]","Old Man Logan","Wolverine",":wolverine:",5,42480,"Logan_P3b_min","(min)","damage","target","2176","2642","3110","3238","3368","13537","Finish the Fight",8,"red","active","272","330.25","388.75","404.75","421","1692.125",,,,,,,,,,"yes","yes","yes","","yes","","","yes","","","","",,"",,"","",,"","","","","",,"","","","",,"",,,,,,""
"17",,"Wolverine (Old Man Logan) [Claws Out]","Wolverine [Claws Out]","Old Man Logan","Wolverine",":wolverine:",5,42480,"Logan_P3b_max","(max)","damage","target","3989","4455","5442","6086","6475","26027","Finish the Fight",8,"red","active","498.625","556.875","680.25","760.75","809.375","3253.375",,,,,,,,,,"yes","yes","yes","","yes","","","yes","","","","",,"",,"","",,"","","","","",,"","","","",,"",,,,,,""
"18",,"Jean Grey (Phoenix) [From the Ashes]","Jean Grey [From the Ashes]","Phoenix","Jean Grey",":jeangrey:",5,42480,"Phoenix_P1a","","cd","tile","1","1","1","1","1","1","From the Ashes",0,"green","passive","Inf","Inf","Inf","Inf","Inf","Inf",,,,,,,"yes",,,"no","","","","","","","","","","","",,"",,"","",,"","","","","",,"yes",,"","",,"",,,,,,""
"19",,"Jean Grey (Phoenix) [From the Ashes]","Jean Grey [From the Ashes]","Phoenix","Jean Grey",":jeangrey:",5,42480,"Phoenix_P2a","","convert","tile","3","4","5","6","7","7","Psychic Rapport",8,"purple","active","0.375","0.5","0.625","0.75","0.875","0.875","purple","basic","red",,,,,,,"no","","","","yes","","","yes","","","","","yes","",,"yes","",,"","","","","",,"","","","",,"",,,,,,""
"20",,"Jean Grey (Phoenix) [From the Ashes]","Jean Grey [From the Ashes]","Phoenix","Jean Grey",":jeangrey:",5,42480,"Phoenix_P2b_min","(min)","improve","tile","104","104","130","130","156","624","Psychic Rapport",0,"purple","passive","Inf","Inf","Inf","Inf","Inf","Inf","purple","basic","red",,,,,,,"no","","","yes","yes","","","","","","","",,"",,"","yes",,"","","","","",,"","","","",,"",,,,,,""
"21",,"Jean Grey (Phoenix) [From the Ashes]","Jean Grey [From the Ashes]","Phoenix","Jean Grey",":jeangrey:",5,42480,"Phoenix_P2b_max","(max)","improve","tile","312","416","650","780","1092","4368","Psychic Rapport",0,"purple","passive","Inf","Inf","Inf","Inf","Inf","Inf","purple","basic","red",,,,,,,"no","","","yes","yes","","","","","","","",,"",,"","yes",,"","","","","",,"","","","",,"",,,,,,""
"22",,"Jean Grey (Phoenix) [From the Ashes]","Jean Grey [From the Ashes]","Phoenix","Jean Grey",":jeangrey:",5,42480,"Phoenix_P3a","","damage","target","1295","1683","1683","2202","2202","8849","Psychic Flames",9,"red","active","143.888888888889","187","187","244.666666666667","244.666666666667","983.222222222222",,,,,,,,,,"yes","yes","","","yes","","","yes","","","","",,"",,"","",,"","","","","",,"","","","",,"",,,,,,""
"23",,"Jean Grey (Phoenix) [From the Ashes]","Jean Grey [From the Ashes]","Phoenix","Jean Grey",":jeangrey:",5,42480,"Phoenix_P3a_min","(min)","attack","tile","208","208","312","312","416","1664","Psychic Flames",9,"red","active","23.1111111111111","23.1111111111111","34.6666666666667","34.6666666666667","46.2222222222222","184.888888888889",,,,,,,,,,"no","yes","","","yes","","","yes","","","","",,"",,"","",,"","yes","","","",,"","","","",,"yes",,,,,,""
"24",,"Jean Grey (Phoenix) [From the Ashes]","Jean Grey [From the Ashes]","Phoenix","Jean Grey",":jeangrey:",5,42480,"Phoenix_P3a_max","(max)","attack","tile","518","518","777","777","1296","5204","Psychic Flames",9,"red","active","57.5555555555556","57.5555555555556","86.3333333333333","86.3333333333333","144","578.222222222222",,,,,,,,,,"no","yes","","","yes","","","yes","","","","",,"",,"","",,"","yes","","","",,"","","","",,"yes",,,,,,""
"25",,"Jean Grey (Phoenix) [Phoenix Force]","Jean Grey [Phoenix Force]","Phoenix","Jean Grey",":jeangrey:",5,42480,"Phoenix_P1b","","damage","team","4144","4144","4144","4144","4144","16656","Phoenix Force",9,"green","active","460.444444444444","460.444444444444","460.444444444444","460.444444444444","460.444444444444","1850.66666666667",,,,,,,,,,"yes","yes","","","yes","yes","","yes","","","","",,"","yes","","",,"","","","","",,"","","","",,"",,,,,,""
"26",,"Jean Grey (Phoenix) [Phoenix Force]","Jean Grey [Phoenix Force]","Phoenix","Jean Grey",":jeangrey:",5,42480,"Phoenix_P2a","","convert","tile","3","4","5","6","7","7","Psychic Rapport",8,"purple","active","0.375","0.5","0.625","0.75","0.875","0.875","purple","basic","red",,,,,,,"no","","","","yes","","","yes","","","","","yes","",,"yes","",,"","","","","",,"","","","",,"",,,,,,""
"27",,"Jean Grey (Phoenix) [Phoenix Force]","Jean Grey [Phoenix Force]","Phoenix","Jean Grey",":jeangrey:",5,42480,"Phoenix_P2b_min","(min)","improve","tile","104","104","130","130","156","624","Psychic Rapport",0,"purple","passive","Inf","Inf","Inf","Inf","Inf","Inf","purple","basic","red",,,,,,,"no","","","yes","yes","","","","","","","",,"",,"","yes",,"","","","","",,"","","","",,"",,,,,,""
"28",,"Jean Grey (Phoenix) [Phoenix Force]","Jean Grey [Phoenix Force]","Phoenix","Jean Grey",":jeangrey:",5,42480,"Phoenix_P2b_max","(max)","improve","tile","312","416","650","780","1092","4368","Psychic Rapport",0,"purple","passive","Inf","Inf","Inf","Inf","Inf","Inf","purple","basic","red",,,,,,,"no","","","yes","yes","","","","","","","",,"",,"","yes",,"","","","","",,"","","","",,"",,,,,,""
"29",,"Jean Grey (Phoenix) [Phoenix Force]","Jean Grey [Phoenix Force]","Phoenix","Jean Grey",":jeangrey:",5,42480,"Phoenix_P3a","","damage","target","1295","1683","1683","2202","2202","8849","Psychic Flames",9,"red","active","143.888888888889","187","187","244.666666666667","244.666666666667","983.222222222222",,,,,,,,,,"yes","yes","","","yes","","","yes","","","","",,"",,"","",,"","","","","",,"","","","",,"",,,,,,""
"30",,"Jean Grey (Phoenix) [Phoenix Force]","Jean Grey [Phoenix Force]","Phoenix","Jean Grey",":jeangrey:",5,42480,"Phoenix_P3a_min","(min)","attack","tile","208","208","312","312","416","1664","Psychic Flames",9,"red","active","23.1111111111111","23.1111111111111","34.6666666666667","34.6666666666667","46.2222222222222","184.888888888889",,,,,,,,,,"no","yes","","","yes","","","yes","","","","",,"",,"","",,"","yes","","","",,"","","","",,"yes",,,,,,""
"31",,"Jean Grey (Phoenix) [Phoenix Force]","Jean Grey [Phoenix Force]","Phoenix","Jean Grey",":jeangrey:",5,42480,"Phoenix_P3a_max","(max)","attack","tile","518","518","777","777","1296","5204","Psychic Flames",9,"red","active","57.5555555555556","57.5555555555556","86.3333333333333","86.3333333333333","144","578.222222222222",,,,,,,,,,"no","yes","","","yes","","","yes","","","","",,"",,"","",,"","yes","","","",,"","","","",,"yes",,,,,,""
"32",,"Ghost Rider (Johnny Blaze)","Ghost Rider","Johnny Blaze","Ghost Rider",":ghostrider:",4,15573,"GhostRider_P1_min","(min)","damage","team","146","219","292","415","716","1423","Burning Rubber",7,"green","active","20.8571428571429","31.2857142857143","41.7142857142857","59.2857142857143","102.285714285714","203.285714285714",,,,,,,,,,"yes","yes","yes","","yes","yes","yes","","","","","",,"",,"","",,"","","","","",,"","","","",,"",,,,,,""
"33",,"Ghost Rider (Johnny Blaze)","Ghost Rider","Johnny Blaze","Ghost Rider",":ghostrider:",4,15573,"GhostRider_P1_max","(max)","damage","team","292","365","438","643","944","1876","Burning Rubber",7,"green","active","41.7142857142857","52.1428571428571","62.5714285714286","91.8571428571429","134.857142857143","268",,,,,,,,,,"yes","yes","yes","","yes","yes","yes","","","","","",,"",,"","",,"","","","","",,"","","","",,"",,,,,,""
"34",,"Ghost Rider (Johnny Blaze)","Ghost Rider","Johnny Blaze","Ghost Rider",":ghostrider:",4,15573,"GhostRider_P1b_min","(min)","attack","tile","18","25","32","47","76","151","Burning Rubber",7,"green","active","2.57142857142857","3.57142857142857","4.57142857142857","6.71428571428571","10.8571428571429","21.5714285714286",,,,,,,,,,"no","yes","","","yes","","yes","","","","","",,"",,"","",,"","yes","","","",,"","","","",,"yes",,,,,,""
"35",,"Ghost Rider (Johnny Blaze)","Ghost Rider","Johnny Blaze","Ghost Rider",":ghostrider:",4,15573,"GhostRider_P2_min","(min)","damage","target","183","275","366","558","915","1810","Hellfire",8,"red","active","22.875","34.375","45.75","69.75","114.375","226.25",,,,,,,,,,"yes","yes","yes","","yes","","","yes","","","","",,"",,"","",,"","","","","",,"","","","",,"",,,,,,""
"36",,"Ghost Rider (Johnny Blaze)","Ghost Rider","Johnny Blaze","Ghost Rider",":ghostrider:",4,15573,"GhostRider_P2_max","(max)","damage","target","366","458","549","741","1098","2172","Hellfire",8,"red","active","45.75","57.25","68.625","92.625","137.25","271.5",,,,,,,,,,"yes","yes","yes","","yes","","","yes","","","","",,"",,"","",,"","","","","",,"","","","",,"",,,,,,""
"37",,"Ghost Rider (Johnny Blaze)","Ghost Rider","Johnny Blaze","Ghost Rider",":ghostrider:",4,15573,"GhostRider_P2b","","attack","tile","28","39","50","73","118","235","Hellfire",8,"red","active","3.5","4.875","6.25","9.125","14.75","29.375",,,,,,,,,,"no","yes","","","yes","","","yes","","","","",,"",,"","",,"","yes","","","",,"","","","",,"yes",,,,,,""
"38",,"Ghost Rider (Johnny Blaze)","Ghost Rider","Johnny Blaze","Ghost Rider",":ghostrider:",4,15573,"GhostRider_P3","","damage","target","Inf","Inf","Inf","Inf","Inf","Inf","Penance Stare",12,"black","active","Inf","Inf","Inf","Inf","Inf","Inf",,,,,,,,,,"yes","yes","","","yes","","","","","yes","","",,"",,"","",,"","","","","",,"","","","",,"",,,,,,""
"39",,"X-23 (All New Wolverine)","X-23","All New Wolverine","X-23",":x23:",4,13934,"X23_P1a","","damage","target","548","767","986","1425","2302","4561","Holding Back",8,"green","active","68.5","95.875","123.25","178.125","287.75","570.125",,,,,,,,,,"yes","yes","","","yes","","","yes","","","","",,"",,"","",,"","","","","",,"","","","",,"",,,,,,""
"40",,"X-23 (All New Wolverine)","X-23","All New Wolverine","X-23",":x23:",4,13934,"X23_P1b","","strike","tile","0","82","104","150","244","478","Berserker Fury",8,"green","active","0","10.25","13","18.75","30.5","59.75",,,,,,,,,,"no","","","","yes","","","yes","","","","",,"",,"","",,"yes","","","","",,"","","","",,"yes",,,,,,""
"41",,"X-23 (All New Wolverine)","X-23","All New Wolverine","X-23",":x23:",4,13934,"X23_P2","","heal","self","183","256","329","476","769","1520","Savage Healing",0,"red","passive","Inf","Inf","Inf","Inf","Inf","Inf",,,,,,,,,,"no","","","yes","","","","","","","yes","",,"",,"","",,"","","","","",,"","","","",,"",,,,,,""
"42",,"X-23 (All New Wolverine)","X-23","All New Wolverine","X-23",":x23:",4,13934,"X23_P3_max","(max)","damage","target","1370","1918","2466","3562","5754","11399","Tracking Prey",12,"purple","active","114.166666666667","159.833333333333","205.5","296.833333333333","479.5","949.916666666667",,,,,,,,,,"no","yes","yes","","yes","","","","","yes","","",,"",,"","",,"","","","","","yes","","","","",,"",,,,,,""
"43",,"X-23 (All New Wolverine)","X-23","All New Wolverine","X-23",":x23:",4,13934,"X23_P3_min","(min)","damage","target","913","1278","1643","2374","3835","7602","Tracking Prey",12,"purple","active","76.0833333333333","106.5","136.916666666667","197.833333333333","319.583333333333","633.5",,,,,,,,,,"no","yes","yes","","yes","","","","","yes","","",,"",,"","",,"","","","","","yes","","","","",,"",,,,,,""
"44",,"Red Hulk (Thunderbolt Ross)","Red Hulk","Thunderbolt Ross","Red Hulk",":redhulk: ",4,18442,"RedHulk_P1","","cd","tile","1","1","1","1","1","1","Seeing Red",0,"red","passive","Inf","Inf","Inf","Inf","Inf","Inf",,,,,,,"yes","yes",,"no","","","yes","","","","","","","","","yes","",,"","",,"","","","","",,"yes",,"","",,"",,,,,,""
"45",,"Red Hulk (Thunderbolt Ross)","Red Hulk","Thunderbolt Ross","Red Hulk",":redhulk: ",4,18442,"RedHulk_P2_min","(min)","damage","team","335","469","603","871","1407","2789","Hammer & Anvil",9,"green","active","37.2222222222222","52.1111111111111","67","96.7777777777778","156.333333333333","309.888888888889",,,,,,,,,,"yes","yes","yes","","yes","yes","","yes","","","","",,"",,"","",,"","","","","",,"","","","",,"",,,,,,""
"46",,"Red Hulk (Thunderbolt Ross)","Red Hulk","Thunderbolt Ross","Red Hulk",":redhulk: ",4,18442,"RedHulk_P2_max","(max)","damage","team","881","1233","1568","2291","3700","7333","Hammer & Anvil",9,"green","active","97.8888888888889","137","174.222222222222","254.555555555556","411.111111111111","814.777777777778",,,,,,,,,,"yes","yes","yes","","yes","yes","","yes","","","","",,"",,"","",,"","","","","",,"","","","",,"",,,,,,""
"47",,"Red Hulk (Thunderbolt Ross)","Red Hulk","Thunderbolt Ross","Red Hulk",":redhulk: ",4,18442,"RedHulk_P3","","AP","NA","NA","NA","NA","NA","NA","NA","Gamma Siphon",7,"purple","active","","","","","","",,,,,,,,,,"no","","","yes","yes","","yes","","","","","",,"",,"","",,"","","","","",,"","","","",,"",,,"yes","yes",,"yes"
"48",,"Cyclops (Classic)","Cyclops","Classic","Cyclops",":cyclops:",4,14890,"Cyclops4_P1_min","(min)","damage","target","543","840","1113","1652","2720","5394","Combined Forces",10,"red","active","54.3","84","111.3","165.2","272","539.4",,,,,,,,,,"yes","yes","yes","","yes","","","","yes","","","",,"",,"","",,"","","","","",,"","","","",,"",,,,,,""
"49",,"Cyclops (Classic)","Cyclops","Classic","Cyclops",":cyclops:",4,14890,"Cyclops4_P1_max","(max)","damage","target","1128","1252","1929","3281","5987","11851","Combined Forces",10,"red","active","112.8","125.2","192.9","328.1","598.7","1185.1",,,,,,,,,,"yes","yes","yes","","yes","","","","yes","","","","yes","",,"","",,"","","","","",,"","","","",,"",,,,,,""
"50",,"Cyclops (Classic)","Cyclops","Classic","Cyclops",":cyclops:",4,14890,"Cyclops4_P2","","cd","tile","1","1","1","1","1","1","Uncanny Strategist",5,"yellow","active","0.2","0.2","0.2","0.2","0.2","0.2",,,,,"yes","yes",,,,"no","","","","yes","","yes","","","","","",,"",,"","",,"","","","","",,"yes","yes","","",,"",,,,"yes",,"yes"
"51",,"Cyclops (Classic)","Cyclops","Classic","Cyclops",":cyclops:",4,14890,"Cyclops4_P3","","damage","target","155","611","611","821","1568","3116","Called Shot",8,"blue","active","19.375","76.375","76.375","102.625","196","389.5",,,,,,,,,,"yes","yes","","","yes","","","yes","","","","","no","",,"","",,"","","","","",,"","","","",,"",,,,"yes",,"yes"
"52",,"Cyclops (Classic)","Cyclops","Classic","Cyclops",":cyclops:",4,14890,"Cyclops4_P3_avg","(avg)","destroy_tile","tile","1","1","1","1","3","3","Called Shot",8,"blue","active","0.125","0.125","0.125","0.125","0.375","0.375",,,,,,,,,,"yes","yes","","","yes","","","yes","","","","","no","",,"","",,"","","","","",,"","","","",,"",,,,"yes",,"yes"
"53",,"Iceman (All New X-Men)","Iceman","All New X-Men","Iceman",":iceman:",4,13934,"Iceman_P1_avg","(avg)","damage","team","653","916","1179","1696","2739","5462","Whiteout",12,"green","active","54.4166666666667","76.3333333333333","98.25","141.333333333333","228.25","455.166666666667",,,,,,,,,,"yes","yes","yes","","yes","yes","","","","yes","","",,"",,"","",,"","","","","",,"","","","",,"",,,,,,""
"54",,"Iceman (All New X-Men)","Iceman","All New X-Men","Iceman",":iceman:",4,13934,"Iceman_P2a","","cd","tile","1","1","1","1","1","1","Uncanny Snowman",6,"blue","active","0.166666666666667","0.166666666666667","0.166666666666667","0.166666666666667","0.166666666666667","0.166666666666667",,,,,,"yes",,,,"no","","","","","","yes","","","","","",,"",,"","",,"","","","","",,"yes","yes","","",,"",,,,,,""
"55",,"Iceman (All New X-Men)","Iceman","All New X-Men","Iceman",":iceman:",4,13934,"Iceman_P2a","","stun","target","2","3","4","4","4","4","Uncanny Snowman",6,"blue","active","0.333333333333333","0.5","0.666666666666667","0.666666666666667","0.666666666666667","0.666666666666667",,,,,,"yes",,,,"no","","","yes","","","yes","","","","","yes",,"",,"","",,"","","","","",,"","yes","","",,"",,,,,,""
"56",,"Iceman (All New X-Men)","Iceman","All New X-Men","Iceman",":iceman:",4,13934,"Iceman_P2a","","damage","target","457","548","594","1737","4022","7964","Uncanny Snowman",6,"blue","active","76.1666666666667","91.3333333333333","99","289.5","670.333333333333","1327.33333333333",,,,,,,,,,"no","","","","","","yes","","","","","",,"",,"","",,"","","","","",,"","","","",,"",,,,,,""
"57",,"Iceman (All New X-Men)","Iceman","All New X-Men","Iceman",":iceman:",4,13934,"Iceman_P3","","convert","tile","4","4","5","5","7","7","Cold As Ice",8,"purple","active","0.5","0.5","0.625","0.625","0.875","0.875","purple","red","blue",,,,,,,"no","","","yes","yes","","","yes","","","","","yes","",,"yes","",,"","","","","",,"","","","",,"",,,"yes",,,"yes"
"58",,"Jean Grey (All New X-Men)","Jean Grey","All New X-Men","Jean Grey",":jeangrey:",4,13974,"JG_P1","","damage","team","329","731","914","914","1965","3888","Mind Over Matter",10,"purple","active","32.9","73.1","91.4","91.4","196.5","388.8",,,,,,,,,,"yes","yes","","yes","yes","yes","","","yes","","","",,"",,"","",,"","","","","",,"","","","",,"","yes",,,,,""
"59",,"Jean Grey (All New X-Men)","Jean Grey","All New X-Men","Jean Grey",":jeangrey:",4,13974,"JG_P2","","damage","team","247","485","485","695","1052","2083","Psychic Feedback",0,"blue","passive","Inf","Inf","Inf","Inf","Inf","Inf",,,,,,,,,,"yes","yes","","yes","yes","yes","","","","","","",,"",,"","",,"","","","","",,"","","","",,"",,,"yes",,,"yes"
"60",,"Jean Grey (All New X-Men)","Jean Grey","All New X-Men","Jean Grey",":jeangrey:",4,13974,"JG_P2","","stun","target","1","1","2","2","2","2","Psychic Feedback",0,"blue","passive","Inf","Inf","Inf","Inf","Inf","Inf",,,,,,,,,,"","","","yes","","","","","","","","yes",,"",,"","",,"","","","","",,"","","","",,"",,,"yes",,,"yes"
"61",,"Jean Grey (All New X-Men)","Jean Grey","All New X-Men","Jean Grey",":jeangrey:",4,13974,"JG_P3","","damage","team","448","713","713","869","1710","3385","Full of Surprises",12,"green","active","37.3333333333333","59.4166666666667","59.4166666666667","72.4166666666667","142.5","282.083333333333",,,,,,,,,,"yes","yes","","","yes","yes","","","","yes","","",,"",,"","",,"","","","","","yes","","","","",,"",,,,,,""
"62",,"Deadpool (Uncanny X-Force)","Deadpool","Uncanny X-Force","Deadpool",":deadpool:",4,13934,"Deadpool4_P1a","","damage","target","922","1291","1660","2397","3872","7678","Out of Bullets",13,"red","active","70.9230769230769","99.3076923076923","127.692307692308","184.384615384615","297.846153846154","590.615384615385",,,,,,,,,,"yes","yes","","","yes","","","","","yes","","",,"",,"","",,"","","","","",,"","","","",,"",,,,,,""
"63",,"Deadpool (Uncanny X-Force)","Deadpool","Uncanny X-Force","Deadpool",":deadpool:",4,13934,"Deadpool4_P1b","","heal","self","548","767","986","1425","2302","4561","Out of Bullets",13,"red","active","42.1538461538462","59","75.8461538461538","109.615384615385","177.076923076923","350.846153846154",,,,,,,,,,"yes","yes","","yes","yes","","","","","yes","yes","",,"",,"","",,"","","","","",,"","","","",,"",,,,,,""
"64",,"Deadpool (Uncanny X-Force)","Deadpool","Uncanny X-Force","Deadpool",":deadpool:",4,13934,"Deadpool4_P2a","","cd","tile","1","1","1","1","1","1","X-Enforcer",0,"black","passive","Inf","Inf","Inf","Inf","Inf","Inf",,,,,,,,"yes",,"no","","","yes","","","","","","","","",,"",,"","",,"","","","","",,"yes",,"","",,"",,,,,,""
